Campaign_ID,Customer_ID,Campaign_Type,Impressions,Clicks,Conversions,Spend
71,1070,Social Media,9864,541,12,374.74
72,1071,Email,10121,490,10,197.45
73,1072,Email,10018,501,11,455.87
74,1073,Email,9935,527,4,273.65
75,1074,Social Media,9992,491,5,289.58
76,1075,Billboard,9949,478,9,141.41
77,1076,Email,10138,472,5,532.19
78,1077,Social Media,10005,498,13,330.09
79,1078,Social Media,9930,507,11,305.55
80,1079,TV,10070,485,3,514.44
81,1080,Email,9958,501,8,280.78
82,1081,Social Media,10009,474,8,439.63
83,1082,Billboard,10110,500,6,66.41
84,1083,Email,10176,471,7,323.62
85,1084,Social Media,9990,475,16,1805.63
86,1085,TV,9793,480,10,528.83
87,1086,TV,9974,524,6,316.97
88,1087,Billboard,10034,514,12,500.22
89,1088,Email,9999,489,11,647.73
90,1089,Email,9972,491,9,811.02
91,1090,Social Media,10087,461,16,903.16
92,1091,TV,9961,521,7,250.18
93,1092,Social Media,9877,520,5,1040.23
94,1093,Social Media,10047,470,5,401.58
95,1094,Email,10026,522,9,206.71
96,1095,Email,10118,514,12,173.26
97,1096,Email,10172,520,12,814.85
98,1097,TV,10102,509,6,511.12
99,1098,TV,9915,503,11,297.7
100,1099,Email,10087,510,5,321.66
101,1100,Social Media,9937,504,8,142.51
102,1101,Social Media,9972,503,12,312.79
103,1102,TV,9920,504,8,367.07
104,1103,Social Media,9826,502,8,49.41
105,1104,Email,9871,533,14,126.02
106,1105,Email,10043,481,7,684.11
107,1106,Social Media,9989,503,13,315.98
108,1107,TV,9880,450,18,889.6
109,1108,TV,10009,498,11,359.17
110,1109,Email,10028,489,13,564.56
111,1110,Social Media,9936,519,8,266
112,1111,TV,9920,456,13,550.57
113,1112,Social Media,9947,438,6,256.24
114,1113,Social Media,9929,479,5,311.1
115,1114,Social Media,9981,493,10,539.46
116,1115,Email,10027,489,9,148.59
117,1116,Social Media,10124,498,8,84.89
118,1117,Social Media,9856,480,9,229.15
119,1118,Social Media,9868,527,14,478.46
120,1119,Email,10139,505,13,747.96
121,1120,Social Media,9935,523,13,22.01
122,1121,Email,9934,489,9,399.68
123,1122,Email,10123,504,10,260.78
124,1123,Email,9711,488,6,401.03
125,1124,Billboard,10019,578,12,207.44
126,1125,Email,10036,485,7,430.16
127,1126,Social Media,10042,494,15,1074.35
128,1127,TV,9978,500,7,380.18
129,1128,Email,10008,488,13,345.56
130,1129,Email,10052,483,13,336.65
131,1130,Social Media,10025,546,11,248.22
132,1131,Social Media,10033,536,10,299.18
133,1132,TV,10016,499,11,853.97
134,1133,Social Media,9971,515,12,260.03
135,1134,Billboard,10035,472,7,156.7
136,1135,Social Media,10108,504,5,32.6
137,1136,TV,10005,467,10,379.88
138,1137,TV,9919,550,12,189.52
139,1138,Social Media,10194,519,9,727.58
140,1139,Billboard,9992,530,7,233.83
141,1140,TV,10121,461,7,506.7
142,1141,TV,10013,475,12,481.44
143,1142,TV,10262,500,9,172.25
144,1143,Email,10047,463,8,713.25
145,1144,Email,9962,480,9,634.51
146,1145,Social Media,9938,496,7,187.13
147,1146,Billboard,9899,468,10,132.99
148,1147,Email,9996,504,12,188
149,1148,Email,9939,534,4,919.46
150,1149,Social Media,10093,501,7,99.62
151,1150,Social Media,10077,468,6,164.66
152,1151,Billboard,9944,485,5,367.85
153,1152,Email,10078,501,9,72.3
154,1153,TV,10214,497,13,547.68
155,1154,Email,10040,475,15,696.82
156,1155,Email,9866,513,10,155.97
157,1156,Social Media,9972,466,17,703.53
158,1157,Email,10068,500,7,262.71
159,1158,TV,10092,512,9,313.23
160,1159,Email,9878,473,12,548.31
161,1160,Email,10072,536,7,191.44
162,1161,Billboard,10031,515,4,127.38
163,1162,Social Media,10056,446,10,235.68
164,1163,Social Media,9907,529,6,279.05
165,1164,Email,10076,499,11,428.53
166,1165,Email,9890,481,14,117.02
167,1166,Social Media,10104,475,9,98.62
168,1167,Email,9989,518,11,467.98
169,1168,Email,9949,484,8,978.37
170,1169,Email,10238,479,10,391.77
171,1170,Email,10087,473,10,98.82
172,1171,Social Media,10051,493,10,94.77
173,1172,Social Media,9939,564,6,321.5
174,1173,Email,9971,491,7,246.27
175,1174,TV,10009,511,11,239.23
176,1175,Billboard,9835,512,9,308.86
177,1176,TV,10003,486,12,233.38
178,1177,Email,10164,457,13,213.65
179,1178,TV,9934,510,6,432.65
180,1179,TV,10132,493,14,261.43
181,1180,Social Media,10193,514,8,289.98
182,1181,Email,10124,498,12,171.85
183,1182,Social Media,10116,533,10,542.47
184,1183,Social Media,9911,506,11,106.08
185,1184,Social Media,10062,467,7,369.39
186,1185,TV,10060,495,11,265.81
187,1186,Email,10132,486,10,459.38
188,1187,Social Media,9891,496,10,601.97
189,1188,Email,10005,499,6,984.01
190,1189,Social Media,9933,473,6,102.8
191,1190,Social Media,10113,471,7,353.13
192,1191,Email,9904,474,15,625.9
193,1192,Email,10015,497,8,492.33
194,1193,TV,9900,505,7,507.19
195,1194,Social Media,9806,457,6,639.39
196,1195,TV,10014,492,13,187.79
197,1196,Social Media,9882,479,14,335.36
198,1197,Social Media,10067,504,11,35.65
199,1198,TV,9964,487,7,588.55
200,1199,Social Media,9924,532,13,275.19
201,1200,Billboard,9882,517,12,828.62
202,1201,Social Media,10125,509,13,920.31
203,1202,Email,10029,542,12,348.03
204,1203,Social Media,10014,485,8,326.56
205,1204,Social Media,9914,525,6,450.66
206,1205,Social Media,10093,476,12,195.07
207,1206,Billboard,10000,508,9,532.38
208,1207,TV,10129,484,9,480.48
209,1208,Social Media,10128,469,10,459.25
210,1209,Email,9965,462,12,432.55
211,1210,Email,9989,495,6,496.55
212,1211,Social Media,10156,487,3,515.13
213,1212,Email,10015,473,13,917.31
214,1213,TV,9974,508,13,457.73
215,1214,Social Media,9760,475,8,165.33
216,1215,Billboard,9838,507,8,288.8
217,1216,Email,10163,480,13,148.58
218,1217,Social Media,10141,472,16,444.86
219,1218,Social Media,10035,493,7,118.24
220,1219,Email,10090,533,6,842.29
221,1220,Billboard,9984,482,10,184.37
222,1221,TV,10024,465,17,550.3
223,1222,Email,10064,511,9,529.53
224,1223,Billboard,9834,485,13,197.63
225,1224,Social Media,9914,480,12,546.82
226,1225,Social Media,10115,501,10,228.09
227,1226,Email,9969,535,11,423.61
228,1227,TV,9956,496,9,40.67
229,1228,TV,10106,519,14,460.71
230,1229,Billboard,9912,455,10,495.24
231,1230,Social Media,9860,495,7,263.85
232,1231,Email,9964,512,10,397.55
233,1232,Social Media,10048,504,7,880.29
234,1233,Email,9868,479,12,641.22
235,1234,Email,9976,534,13,256.28
236,1235,Social Media,10047,504,16,275.06
237,1236,Social Media,10117,473,9,515.43
238,1237,TV,10059,513,9,657.86
239,1238,Social Media,9661,503,7,155.08
240,1239,Billboard,10011,508,10,288.88
241,1240,Email,10074,532,13,225.3
242,1241,Email,10004,513,13,657.64
243,1242,Email,9806,512,15,772.69
244,1243,TV,10070,482,4,143.32
245,1244,Social Media,10010,526,8,194.71
246,1245,TV,9860,490,10,436.06
247,1246,Email,10276,446,7,48.14
248,1247,TV,9983,498,10,802.25
249,1248,Email,9845,509,13,238.02
250,1249,Social Media,10094,511,13,306.16
251,1250,Email,10156,535,10,310.61
252,1251,Social Media,10013,479,10,279.31
253,1252,Email,10143,464,13,202.14
254,1253,TV,10176,462,17,120.52
255,1254,Email,9862,503,8,1564.11
256,1255,Social Media,9968,527,7,144.64
257,1256,TV,10056,488,10,647.76
258,1257,Email,9744,501,9,620.74
259,1258,Email,9970,525,12,318.79
260,1259,Email,9990,502,6,381.28
261,1260,Email,10002,500,8,147.88
262,1261,Social Media,9883,483,13,142.48
263,1262,TV,10092,492,11,390.8
264,1263,Billboard,9894,513,16,413.47
265,1264,Email,9957,476,7,206.48
266,1265,Email,10011,503,7,375.19
267,1266,Email,10051,510,7,182.2
268,1267,Email,9870,513,15,510.44
269,1268,Social Media,10045,501,9,436.36
270,1269,Email,9927,500,11,1112.7
271,1270,Billboard,9923,525,8,97.31
272,1271,TV,10032,503,11,306.26
273,1272,TV,9971,445,12,589.13
274,1273,Billboard,9904,500,9,174.48
275,1274,Email,10099,514,13,514.6
276,1275,Social Media,10018,534,10,438.93
277,1276,Email,9827,525,8,270.59
278,1277,Social Media,9932,540,6,146.02
279,1278,Social Media,10060,488,5,873.88
280,1279,Social Media,10100,504,14,537.9
281,1280,Billboard,10018,499,10,158.59
282,1281,Email,10058,496,9,70.83
283,1282,Email,10183,503,5,114.86
284,1283,Social Media,9930,482,8,336.61
285,1284,Email,10112,539,10,1055.69
286,1285,Social Media,10057,528,13,495.12
287,1286,Email,10001,486,4,280.72
288,1287,Email,9897,504,7,823.53
289,1288,Email,10096,504,11,361.06
290,1289,TV,10064,467,16,86.44
291,1290,Email,9929,493,11,741.84
292,1291,TV,9845,486,3,606.76
293,1292,Social Media,10169,478,12,1297.33
294,1293,Email,10013,493,9,181.68
295,1294,Social Media,9905,507,6,106.19
296,1295,Social Media,10094,516,7,440.65
297,1296,Social Media,10030,483,12,546.05
298,1297,Social Media,9902,432,9,202.3
299,1298,Email,9948,474,14,150.28
300,1299,Email,10160,482,7,655.69
301,1300,Billboard,9983,464,7,292.41
302,1301,Billboard,10089,487,13,744.58
303,1302,Social Media,10013,521,7,440.3
304,1303,Social Media,9983,499,8,124.87
305,1304,Social Media,10012,523,9,147.71
306,1305,Email,9992,514,6,736.78
307,1306,Social Media,9907,491,9,177.93
308,1307,Email,9866,511,11,154.27
309,1308,Social Media,10003,472,6,295.84
310,1309,Social Media,10137,512,8,374.72
311,1310,Email,9923,457,9,190.33
312,1311,TV,10088,475,9,202.58
313,1312,TV,10043,513,9,420.96
314,1313,TV,10073,475,8,322.5
315,1314,Social Media,10095,449,11,323.63
316,1315,Email,9851,525,14,263.87
317,1316,Email,10034,496,11,423
318,1317,Email,9961,476,12,131.59
319,1318,Email,9886,523,10,362.24
320,1319,Email,10071,532,10,403.26
321,1320,Email,9828,503,9,142.22
322,1321,Billboard,10014,526,6,135.63
323,1322,TV,9913,529,7,282.87
324,1323,TV,9909,528,5,542.3
325,1324,TV,10139,522,7,402.23
326,1325,Social Media,10013,517,10,444.47
327,1326,Social Media,9911,496,11,713.21
328,1327,Email,9832,535,12,533.48
329,1328,Social Media,10174,474,12,360.21
330,1329,Email,10175,503,12,350.54
331,1330,Social Media,10182,512,8,242.78
332,1331,Social Media,10066,471,8,383.04
333,1332,TV,10097,518,14,111.69
334,1333,Social Media,10031,511,9,723
335,1334,Social Media,10142,457,14,678.46
336,1335,Email,9832,514,8,232.4
337,1336,Social Media,10002,473,10,215.27
338,1337,Billboard,10249,502,11,410.2
339,1338,Billboard,10007,481,13,446.69
340,1339,Social Media,9985,483,9,457.88
341,1340,Email,10126,508,11,405.35
342,1341,TV,9924,490,8,441.67
343,1342,TV,10099,501,8,34.49
344,1343,Social Media,10061,496,6,171.62
345,1344,Email,9894,454,7,248.47
346,1345,TV,9956,464,6,238.08
347,1346,Email,9959,520,13,321.4
348,1347,Email,10009,476,15,469.87
349,1348,Social Media,9930,474,5,265.75
350,1349,Social Media,9842,521,6,300.54
351,1350,TV,9832,491,10,323.61
352,1351,TV,9921,472,7,177.24
353,1352,TV,10146,499,6,808.06
354,1353,Social Media,10032,505,13,372.53
355,1354,TV,10081,486,15,279.83
356,1355,Social Media,10049,507,12,373.73
357,1356,Social Media,10052,497,12,540.59
358,1357,TV,9955,528,10,116.75
359,1358,Email,10292,488,13,780.35
360,1359,Email,10005,498,8,175.12
361,1360,Social Media,9978,505,13,348.8
362,1361,Social Media,10085,565,9,284.62
363,1362,Social Media,9994,513,13,43.75
364,1363,Email,10039,498,11,46.93
365,1364,Social Media,9981,479,12,194.52
366,1365,Email,9800,486,10,575.24
367,1366,TV,9964,516,14,799.43
368,1367,Email,9865,536,10,213.08
369,1368,Billboard,10107,515,16,429.95
370,1369,Social Media,10007,485,9,380.15
371,1370,Billboard,10027,477,11,117.24
372,1371,Social Media,9963,518,12,517.43
373,1372,TV,10186,499,13,212.04
374,1373,Email,9789,494,15,263.03
375,1374,Social Media,9957,486,10,754.32
376,1375,Billboard,9930,510,6,350.63
377,1376,Email,10101,533,10,541.57
378,1377,Email,9893,513,6,403.23
379,1378,Email,9829,502,10,249.68
380,1379,TV,10002,465,7,206.2
381,1380,Social Media,9823,524,10,203.58
382,1381,Email,9796,512,10,1031.48
383,1382,Social Media,9894,487,18,355.32
384,1383,Email,9865,506,15,540.34
385,1384,Email,10052,536,8,590.18
386,1385,Social Media,9839,497,9,273.17
387,1386,TV,10033,507,8,483.72
388,1387,Email,9957,518,16,112.06
389,1388,Email,9920,543,12,832.52
390,1389,Email,10157,523,10,93.58
391,1390,Social Media,9907,520,9,126.67
392,1391,Email,10127,491,9,136.93
393,1392,Email,10072,552,14,62.49
394,1393,Billboard,9921,514,8,149.73
395,1394,TV,10011,522,8,160.9
396,1395,Social Media,9913,544,18,53.33
397,1396,TV,9731,504,8,292.67
398,1397,Email,10123,494,11,58.95
399,1398,Email,10107,509,19,174.73
400,1399,Social Media,10180,514,11,803.87
401,1400,Social Media,10104,513,6,448.4
402,1401,Email,10135,503,9,50.37
403,1402,Email,10155,517,4,669.66
404,1403,Social Media,10024,475,10,250.88
405,1404,Email,10018,482,14,311.6
406,1405,Email,10012,468,12,553.06
407,1406,Social Media,10049,468,8,123.26
408,1407,Billboard,9879,506,9,199.12
409,1408,Social Media,9981,499,9,123.38
410,1409,Social Media,9982,491,7,193.59
411,1410,TV,9830,499,6,208.34
412,1411,Social Media,10036,476,11,168.9
413,1412,Email,10076,487,14,138.93
414,1413,Social Media,10156,495,5,496.54
415,1414,TV,9983,476,9,332.07
416,1415,Social Media,10047,480,11,639.61
417,1416,Email,10028,474,9,450.65
418,1417,Email,10137,511,17,425.84
419,1418,Email,10058,478,16,741.96
420,1419,Email,9943,493,16,188.08
421,1420,Social Media,10003,522,7,996.46
422,1421,Email,9942,492,6,87.23
423,1422,Social Media,9953,490,5,119.48
424,1423,TV,9934,510,7,525.76
425,1424,Email,10043,502,15,283.32
426,1425,Social Media,9911,475,13,214.65
427,1426,Social Media,9807,478,11,814.17
428,1427,Billboard,10161,487,9,109.46
429,1428,Social Media,9734,498,8,377.49
430,1429,Social Media,10253,520,10,584.87
431,1430,Billboard,9880,476,4,300.09
432,1431,Social Media,10012,514,14,77.05
433,1432,Billboard,10114,512,8,48.33
434,1433,Email,9882,522,13,194.79
435,1434,Email,9861,509,10,302.37
436,1435,Social Media,10084,499,10,180.1
437,1436,Email,10079,477,7,28.2
438,1437,Email,9893,502,11,749.29
439,1438,TV,10073,522,15,877.54
440,1439,Email,9918,505,10,815.7
441,1440,Email,10083,499,13,298.63
442,1441,Email,10052,480,7,591.96
443,1442,Email,10166,492,5,147.12
444,1443,TV,9858,523,8,313.96
445,1444,TV,10161,468,13,662.31
446,1445,TV,9890,488,11,639.95
447,1446,Email,9885,525,10,509.81
448,1447,Email,10036,501,11,463.05
449,1448,Email,9855,522,12,144.79
450,1449,Social Media,9979,486,12,83.48
451,1450,Billboard,10107,493,10,240.82
452,1451,TV,9942,490,8,88.55
453,1452,TV,9870,512,11,394.55
454,1453,Email,9998,485,6,336.65
455,1454,Social Media,9998,489,14,118.03
456,1455,TV,9980,464,9,473.53
457,1456,Email,9944,519,10,215.1
458,1457,TV,10077,502,10,289.09
459,1458,Email,10069,550,7,155.43
460,1459,Social Media,10115,523,8,624.93
461,1460,Email,9933,471,9,175.91
462,1461,Email,10063,490,10,373.05
463,1462,TV,10147,505,10,639.39
464,1463,Social Media,9949,461,7,372.91
465,1464,Social Media,10211,490,6,125.5
466,1465,Email,9873,487,7,671.19
467,1466,Email,9859,473,14,267.82
468,1467,Billboard,9993,536,7,152.05
469,1468,Social Media,9913,468,9,580.55
470,1469,Social Media,10025,503,12,584.49
471,1470,Billboard,10008,486,21,332.51
472,1471,Email,9935,498,8,136.06
473,1472,TV,10056,525,13,40.95
474,1473,Email,9857,481,17,129.56
475,1474,Social Media,10118,521,10,152.74
476,1475,Social Media,10011,506,11,314.33
477,1476,Billboard,10069,482,10,205.1
478,1477,Email,9888,467,12,628.14
479,1478,TV,9849,491,11,719.39
480,1479,Email,9852,474,15,239.41
481,1480,TV,10044,497,11,288.19
482,1481,Email,9937,540,5,719.15
483,1482,Email,10002,507,10,539.33
484,1483,Social Media,9890,495,7,290.27
485,1484,Social Media,10045,530,8,539.23
486,1485,Email,10108,494,13,201.61
487,1486,Billboard,10116,506,15,378.34
488,1487,Email,10008,490,9,733.31
489,1488,Billboard,10067,506,9,330.85
490,1489,Email,10161,454,11,346.75
491,1490,Social Media,10015,524,8,341.7
492,1491,TV,9972,490,7,331.5
493,1492,TV,9853,481,8,740.07
494,1493,Email,9906,506,7,257.69
495,1494,Email,9970,514,9,477.2
496,1495,Social Media,9976,523,12,298.58
497,1496,Email,10007,503,7,288.11
498,1497,Social Media,10011,503,4,341.47
499,1498,Email,9870,526,15,737.94
500,1499,Email,10051,475,7,971.86
501,1500,Billboard,9927,485,15,817.69
502,1501,Email,10018,468,11,583.22
503,1502,Social Media,9951,466,6,227.7
504,1503,Email,10030,506,9,185.88
505,1504,TV,10003,493,8,228.53
506,1505,Email,10104,509,13,294.17
507,1506,TV,9865,510,17,586.34
508,1507,Social Media,9941,509,11,336.97
509,1508,Billboard,10023,477,8,589.45
510,1509,Social Media,9865,460,10,1187.38
511,1510,Social Media,9954,506,8,278.43
512,1511,Social Media,9991,494,13,236.79
513,1512,Social Media,9801,499,6,223.33
514,1513,Social Media,10095,540,11,617.98
515,1514,Email,9914,514,10,481.33
516,1515,Email,10013,477,8,412.69
517,1516,Social Media,10021,477,13,737.25
518,1517,Email,10113,487,7,578.52
519,1518,Email,10233,486,9,345.88
520,1519,Email,9978,482,12,278.13
521,1520,TV,10151,486,14,509.86
522,1521,Email,10066,493,10,365.97
523,1522,Email,10011,515,9,585.46
524,1523,Social Media,9952,492,7,152.06
525,1524,TV,10146,497,8,186.71
526,1525,TV,9879,437,13,304.39
527,1526,TV,10004,493,12,355.27
528,1527,TV,9854,504,9,542.11
529,1528,Social Media,10108,459,9,97.5
530,1529,Email,9942,520,15,590.32
531,1530,Email,9961,468,15,445.49
532,1531,Email,9831,506,8,211.01
533,1532,TV,10117,514,7,361.58
534,1533,Email,9987,540,13,348.09
535,1534,TV,10025,505,9,281.35
536,1535,Billboard,10124,547,11,693.17
537,1536,TV,9935,468,13,508.29
538,1537,TV,10071,508,8,705.15
539,1538,Social Media,10034,489,14,193.55
540,1539,Social Media,10083,497,13,331.88
541,1540,Email,9980,482,15,4.99
542,1541,Social Media,10123,472,11,500.39
543,1542,Social Media,10210,509,9,53.96
544,1543,Social Media,10127,507,8,402.1
545,1544,Email,9763,472,6,315.86
546,1545,Social Media,9964,497,10,122.46
547,1546,Email,9924,494,8,375.75
548,1547,Email,10039,471,6,132.86
549,1548,Email,9940,464,6,222.01
550,1549,Social Media,10114,487,7,267.85
551,1550,Email,10078,513,10,427.19
552,1551,Billboard,10039,507,7,324.37
553,1552,Social Media,10003,511,7,69.84
554,1553,Email,10153,527,10,305.03
555,1554,Billboard,10099,510,11,796.14
556,1555,Email,10098,511,9,472.27
557,1556,Social Media,9965,463,7,694.54
558,1557,Social Media,9925,519,8,275.47
559,1558,Email,10169,466,7,259.86
560,1559,Social Media,10272,507,6,80.46
561,1560,Email,10257,500,10,930.39
562,1561,Social Media,9846,480,10,336.51
563,1562,Billboard,10179,537,14,114.27
564,1563,TV,10060,493,8,83.86
565,1564,Social Media,9921,484,8,1034.85
566,1565,Email,10048,487,14,103.24
567,1566,Social Media,9799,501,9,311.67
568,1567,Email,10083,489,10,288.62
569,1568,Billboard,10037,532,12,207.87
570,1569,Social Media,9924,450,5,626.69
571,1570,Billboard,10047,479,10,537.95
572,1571,Email,9850,498,6,387.78
573,1572,Email,10019,487,13,670.5
574,1573,Billboard,10072,437,10,801.1
575,1574,Email,9910,522,8,316.2
576,1575,Billboard,9944,508,13,368.98
577,1576,Social Media,9981,491,18,567.11
578,1577,Social Media,10074,500,8,445.78
579,1578,Email,9868,454,6,249.49
580,1579,Email,9992,465,5,406.57
581,1580,Email,10053,489,14,414.74
582,1581,Social Media,9993,520,8,495.39
583,1582,Social Media,9939,514,7,129.36
584,1583,Social Media,10058,522,12,463.22
585,1584,Email,10108,506,8,113.38
586,1585,Email,10003,504,8,22.05
587,1586,Email,9832,501,12,310.55
588,1587,Email,9857,473,7,31.05
589,1588,Email,10037,511,1,563.27
590,1589,Social Media,10074,518,17,280.55
591,1590,Social Media,9968,524,11,177.54
592,1591,TV,10247,509,7,142.24
593,1592,Email,9883,545,12,76.17
594,1593,Email,10051,500,7,214.59
595,1594,Social Media,10247,489,9,545.44
596,1595,TV,10176,491,13,251.93
597,1596,Social Media,10204,500,10,363.64
598,1597,Social Media,9922,511,10,100.61
599,1598,Email,9764,539,5,300.38
600,1599,Email,9873,472,10,648.31
601,1600,Email,10122,477,13,370.06
602,1601,Email,9929,536,10,1094.64
603,1602,Social Media,10036,501,8,219.69
604,1603,Email,10070,507,17,103.82
605,1604,TV,9862,474,8,869
606,1605,Email,10185,512,10,628.17
607,1606,Billboard,9922,504,4,366.74
608,1607,Email,9879,515,10,386.79
609,1608,Email,9961,494,4,382.01
610,1609,Social Media,9998,514,8,200
611,1610,Email,10161,486,9,82.05
612,1611,Email,10158,509,13,204.04
613,1612,Email,10011,459,10,708.92
614,1613,Billboard,10005,465,8,447.58
615,1614,Social Media,10030,510,9,62.84
616,1615,Email,10115,509,12,256.71
617,1616,Email,9934,509,9,299.92
618,1617,Social Media,9986,494,9,364.46
619,1618,Email,9965,494,5,171.66
620,1619,Email,9993,525,14,82.66
621,1620,Email,9867,511,8,633.4
622,1621,Email,10056,543,7,786.19
623,1622,Email,10133,527,6,394.07
624,1623,Email,9776,487,7,494.41
625,1624,Email,9923,492,7,205.15
626,1625,Social Media,10352,530,9,164.23
627,1626,TV,10092,509,12,146.89
628,1627,Social Media,9891,500,5,410.87
629,1628,Social Media,9916,493,8,297.92
630,1629,TV,10030,506,7,73.47
631,1630,Social Media,10077,508,7,383.62
632,1631,Email,10030,497,12,563.12
633,1632,Email,9905,557,12,1103.5
634,1633,Email,9935,511,12,298.51
635,1634,Email,9827,493,9,339.65
636,1635,Email,9879,488,8,675.57
637,1636,Email,10119,485,14,166.18
638,1637,TV,10029,513,14,224.99
639,1638,Email,10160,537,8,271.43
640,1639,Social Media,10086,498,10,333.08
641,1640,Email,10174,519,10,235.88
642,1641,TV,9994,521,10,238.38
643,1642,TV,10117,508,5,115.39
644,1643,Social Media,10103,503,9,333.49
645,1644,Email,10075,528,13,449.64
646,1645,Social Media,10034,521,11,567.08
647,1646,Social Media,10125,495,13,159.96
648,1647,Social Media,10031,487,9,904.43
649,1648,Email,10025,517,14,51.67
650,1649,TV,10072,532,16,515.46
651,1650,Email,10024,502,5,262.33
652,1651,Social Media,10048,510,9,418.99
653,1652,Email,9893,535,7,213.53
654,1653,Email,10019,492,10,66.41
655,1654,Email,10151,504,4,433.24
656,1655,TV,10078,494,10,446.99
657,1656,Social Media,10056,502,10,287.8
658,1657,TV,9986,523,12,39.85
659,1658,Social Media,10055,502,10,771.17
660,1659,Email,9912,490,5,626.34
661,1660,Social Media,9894,473,12,297.94
662,1661,Email,10011,529,6,1446.91
663,1662,Social Media,10102,504,12,504.38
664,1663,TV,10011,516,10,214.59
665,1664,Email,10139,492,13,154.37
666,1665,Email,10061,498,13,597.86
667,1666,Social Media,10024,526,8,124.35
668,1667,Email,10092,507,9,365.84
669,1668,Email,10071,500,9,380.84
670,1669,Email,10001,493,13,240.84
671,1670,Email,9872,508,10,547.15
672,1671,Email,10126,473,11,631.1
673,1672,Billboard,9977,499,10,4.46
674,1673,TV,10005,499,11,406.22
675,1674,Billboard,10144,469,12,75.48
676,1675,TV,9995,488,12,47.12
677,1676,Email,9865,503,13,323.8
678,1677,Email,10155,485,11,26.5
679,1678,TV,9827,487,10,241.7
680,1679,Social Media,9992,503,8,189.04
681,1680,Social Media,9891,479,12,565.84
682,1681,Email,10027,461,11,296.17
683,1682,Email,10037,504,6,892.05
684,1683,Social Media,10123,487,10,352.62
685,1684,TV,10141,500,11,107.9
686,1685,Social Media,10076,478,10,126.98
687,1686,Social Media,10019,493,6,591.89
688,1687,Email,10132,506,5,389.45
689,1688,Social Media,10019,528,17,57.88
690,1689,Email,10130,487,11,483.62
691,1690,Email,10042,523,12,139.74
692,1691,TV,9903,500,4,129.33
693,1692,Billboard,10039,518,4,192.57
694,1693,Email,9984,506,13,965.95
695,1694,Social Media,10096,486,16,425.08
696,1695,Email,10009,519,15,199.05
697,1696,Billboard,9946,543,13,198.87
698,1697,TV,10125,514,9,568.7
699,1698,Email,10075,486,11,69.68
700,1699,Social Media,9995,450,13,362.58
701,1700,Email,10071,510,7,403.03
